group,district_key,breakpoint,first_5g_yearmonth,relative_month,class
controls_used,AREQUIPA|CASTILLA|ORCOPAMPA,202511,,,never
controls_used,JUNIN|YAULI|HUAYHUAY,202511,,,never
controls_used,CUSCO|ANTA|ANTA,202511,,,never
controls_used,JUNIN|YAULI|LA OROYA,202511,,,never
controls_used,ANCASH|HUARI|SAN MARCOS,202511,,,never
controls_used,AYACUCHO|PAUCAR DEL SARA SARA|OYOLO,202412,,,never
controls_used,AREQUIPA|CASTILLA|ORCOPAMPA,202412,,,never
controls_used,AREQUIPA|CAYLLOMA|YANQUE,202412,,,never
controls_used,LIMA|HUAURA|HUACHO,202511,,,never
controls_used,PIURA|TALARA|PARIÑAS,202511,,,never
controls_used,LIMA|LIMA|LURIN,202511,,,never
controls_used,PIURA|PIURA|TAMBO GRANDE,202511,,,never
controls_used,ANCASH|SANTA|CHIMBOTE,202511,,,never
