department,province,district,yearmonth,category
Arequipa,Arequipa,Paucarpata,202604,empty_field
Arequipa,Arequipa,Paucarpata,202605,empty_field
Piura,Piura,Catacaos,202411,empty_field
Piura,Piura,Catacaos,202412,empty_field
Piura,Piura,Catacaos,202501,empty_field
Piura,Piura,Catacaos,202502,empty_field
Piura,Piura,Catacaos,202503,empty_field
Piura,Piura,Catacaos,202504,empty_field
Piura,Piura,Catacaos,202505,empty_field
Piura,Piura,Catacaos,202506,empty_field
Piura,Piura,Catacaos,202507,empty_field
Piura,Piura,Catacaos,202508,empty_field
Piura,Piura,Catacaos,202509,empty_field
Piura,Piura,Catacaos,202510,empty_field
Piura,Piura,Catacaos,202511,empty_field
Piura,Piura,Catacaos,202512,empty_field
Piura,Piura,Catacaos,202601,empty_field
Piura,Piura,Catacaos,202602,empty_field
Piura,Piura,Catacaos,202603,empty_field
Piura,Piura,Catacaos,202604,empty_field
Piura,Piura,Catacaos,202605,empty_field
Junin,Huancayo,San Agustin,202412,empty_field
Junin,Huancayo,San Agustin,202501,empty_field
Junin,Huancayo,San Agustin,202502,empty_field
Junin,Huancayo,San Agustin,202503,empty_field
Junin,Huancayo,San Agustin,202504,empty_field
Junin,Huancayo,San Agustin,202505,empty_field
Junin,Huancayo,San Agustin,202506,empty_field
Junin,Huancayo,San Agustin,202507,empty_field
Junin,Huancayo,San Agustin,202508,empty_field
Junin,Huancayo,San Agustin,202509,empty_field
Junin,Huancayo,San Agustin,202510,empty_field
Junin,Huancayo,San Agustin,202511,empty_field
Junin,Huancayo,San Agustin,202512,empty_field
Junin,Huancayo,San Agustin,202601,empty_field
Junin,Huancayo,San Agustin,202602,empty_field
Junin,Huancayo,San Agustin,202603,empty_field
Junin,Huancayo,San Agustin,202604,empty_field
Junin,Huancayo,San Agustin,202605,empty_field
La Libertad,Trujillo,El Porvenir,202412,empty_field
La Libertad,Trujillo,El Porvenir,202501,empty_field
La Libertad,Trujillo,El Porvenir,202502,empty_field
La Libertad,Trujillo,El Porvenir,202503,empty_field
La Libertad,Trujillo,El Porvenir,202504,empty_field
La Libertad,Trujillo,El Porvenir,202505,empty_field
La Libertad,Trujillo,El Porvenir,202506,empty_field
La Libertad,Trujillo,El Porvenir,202507,empty_field
La Libertad,Trujillo,El Porvenir,202508,empty_field
La Libertad,Trujillo,El Porvenir,202509,empty_field
La Libertad,Trujillo,El Porvenir,202510,empty_field
La Libertad,Trujillo,El Porvenir,202511,empty_field
La Libertad,Trujillo,El Porvenir,202512,empty_field
La Libertad,Trujillo,El Porvenir,202601,empty_field
La Libertad,Trujillo,El Porvenir,202602,empty_field
La Libertad,Trujillo,El Porvenir,202603,empty_field
La Libertad,Trujillo,El Porvenir,202604,empty_field
La Libertad,Trujillo,El Porvenir,202605,empty_field
La Libertad,Trujillo,La Esperanza,202412,empty_field
La Libertad,Trujillo,La Esperanza,202501,empty_field
La Libertad,Trujillo,La Esperanza,202502,empty_field
La Libertad,Trujillo,La Esperanza,202503,empty_field
La Libertad,Trujillo,La Esperanza,202504,empty_field
La Libertad,Trujillo,La Esperanza,202505,empty_field
La Libertad,Trujillo,La Esperanza,202506,empty_field
La Libertad,Trujillo,La Esperanza,202507,empty_field
La Libertad,Trujillo,La Esperanza,202508,empty_field
La Libertad,Trujillo,La Esperanza,202509,empty_field
La Libertad,Trujillo,La Esperanza,202510,empty_field
La Libertad,Trujillo,La Esperanza,202511,empty_field
La Libertad,Trujillo,La Esperanza,202512,empty_field
La Libertad,Trujillo,La Esperanza,202601,empty_field
La Libertad,Trujillo,La Esperanza,202602,empty_field
La Libertad,Trujillo,La Esperanza,202603,empty_field
La Libertad,Trujillo,La Esperanza,202604,empty_field
La Libertad,Trujillo,La Esperanza,202605,empty_field
La Libertad,Trujillo,Moche,202412,empty_field
La Libertad,Trujillo,Moche,202501,empty_field
La Libertad,Trujillo,Moche,202502,empty_field
La Libertad,Trujillo,Moche,202503,empty_field
La Libertad,Trujillo,Moche,202504,empty_field
La Libertad,Trujillo,Moche,202505,empty_field
La Libertad,Trujillo,Moche,202506,empty_field
