outcome,department,province,district,breakpoint_yearmonth,delta_treated,delta_control_mean,did,n_controls,has_5g_post
latency,Lima,Huaura,Sayan,202602,-0.9786420833333409,1.6645199499999948,-2.6431620333333354,5,False
latency,Lima,Lima,Barranco,202511,-6.962524000000002,-5.138922041666673,-1.8236019583333292,4,False
latency,Lima,Lima,Breña,202512,-2.17980716666667,-4.418493800000002,2.238686633333332,5,True
latency,Lima,Lima,Carabayllo,202512,-2.9735721666666635,-5.642157777777776,2.668585611111112,3,True
latency,Lima,Lima,Independencia,202512,-3.185270833333334,-5.240380000000002,2.055109166666668,5,False
latency,Lima,Lima,Los Olivos,202512,-2.5115504999999985,-4.927171458333332,2.4156209583333332,4,True
latency,Lima,Lima,Puente Piedra,202512,-3.0091493333333332,-4.469044066666666,1.459894733333333,5,False
latency,Lima,Lima,Punta Negra,202504,-7.910646833333331,-3.827110566666666,-4.083536266666665,5,False
latency,Lima,Lima,San Juan De Lurigancho,202512,-1.8674503333333448,-4.444232433333335,2.57678209999999,5,True
latency,Lima,Lima,San Martin De Porres,202512,-2.937590499999999,-4.531051888888889,1.5934613888888904,3,True
latency,Piura,Piura,Castilla,202412,-13.538127166666676,-12.32831993333333,-1.209807233333347,5,False
latency,Piura,Piura,Catacaos,202411,-17.42815633333334,-15.303650433333328,-2.1245059000000133,5,False
latency,Piura,Piura,Veintiseis De Octubre,202412,-15.10216599999999,-12.987779999999997,-2.1143859999999925,5,False
latency,Puno,Chucuito,Desaguadero,202601,-5.496172733333353,0.8065753800000038,-6.302748113333356,5,False
latency,Puno,Melgar,Ayaviri,202602,-0.1625638333333228,0.5252628500000028,-0.6878266833333256,5,False
latency,Puno,Puno,Puno,202511,-5.224442000000003,-1.2952755333333357,-3.9291664666666675,5,False
latency,Puno,San Roman,Caracoto,202511,-4.326460833333314,-2.2014245666666694,-2.125036266666645,5,False
latency,Puno,San Roman,Juliaca,202511,-4.64681933333334,-1.2952755333333357,-3.3515438000000044,5,False
latency,Puno,San Roman,San Miguel,202511,-5.737672666666661,-1.6428094333333405,-4.094863233333321,5,False
latency,Tacna,Candarave,Camilaca,202412,-1.4948881666666693,-12.110624999999999,10.61573683333333,3,False
latency,Tumbes,Tumbes,Tumbes,202511,-0.9111488333333284,-2.456037100000002,1.5448882666666734,5,False
upload,Arequipa,Arequipa,Alto Selva Alegre,202410,-0.20222130000000016,-0.2005382166666668,-0.0016830833333333628,5,False
upload,Arequipa,Arequipa,Cayma,202411,0.327608783333333,-0.0687651800000002,0.3963739633333332,5,False
upload,Arequipa,Arequipa,Jacobo Hunter,202410,-0.15900568333333354,-0.24222404000000006,0.08321835666666652,5,False
upload,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202411,-0.372562966666667,-0.12117824333333357,-0.2513847233333334,5,False
upload,Arequipa,Arequipa,Mariano Melgar,202411,-0.031376599999999755,-0.4489522566666667,0.41757565666666696,5,False
upload,Arequipa,Arequipa,Miraflores,202411,0.5257885666666673,-0.28356189444444463,0.809350461111112,3,False
upload,Arequipa,Arequipa,Paucarpata,202411,0.32712815000000006,-0.5069546233333335,0.8340827733333336,5,False
upload,Arequipa,Arequipa,Sachaca,202410,0.041451399999999694,-0.3080575500000001,0.3495089499999998,5,False
upload,Arequipa,Arequipa,Socabaya,202410,-0.44278793333333333,-0.09763844999999982,-0.3451494833333335,5,False
upload,Arequipa,Arequipa,Tiabaya,202410,-0.7860524666666664,0.00638886333333355,-0.7924413299999999,5,False
upload,Arequipa,Arequipa,Yanahuara,202410,-0.30993623333333353,-0.8824110366666666,0.5724748033333331,5,False
upload,Ayacucho,Huamanga,Carmen Alto,202505,0.6443609500000003,-0.14333356666666655,0.7876945166666668,5,False
upload,Callao,Callao,La Perla,202602,-0.36128464166666685,0.04327405166666658,-0.40455869333333344,5,False
upload,Cusco,Cusco,Cusco,202509,0.49311205000000013,0.1442763541666665,0.3488356958333336,4,False
upload,Cusco,Cusco,San Jeronimo,202509,0.42306826666666675,0.12640855416666652,0.2966597125000002,4,False
upload,Cusco,Cusco,San Sebastian,202509,0.5947887999999999,0.12889611999999992,0.46589267999999995,5,False
upload,Cusco,Cusco,Santiago,202509,0.10286988333333325,0.1442763541666665,-0.041406470833333264,4,False
upload,Cusco,Cusco,Wanchaq,202509,0.4806477,-0.06402296666666656,0.5446706666666665,5,False
upload,Cusco,Espinar,Espinar,202602,0.7014139416666669,0.04991985500000027,0.6514940866666666,5,False
upload,Ica,Chincha,Alto Laran,202406,0.3736489333333335,-0.4056969433333329,0.7793458766666663,5,False
upload,Ica,Chincha,Chincha Alta,202406,0.9326381833333328,0.16657016666666652,0.7660680166666662,5,False
upload,Ica,Chincha,Chincha Baja,202406,-0.22298183333333377,-0.2492018666666665,0.026220033333332726,5,False
upload,Ica,Chincha,El Carmen,202406,-0.5223001000000003,-0.13318014333333306,-0.3891199566666672,5,False
upload,Ica,Chincha,Pueblo Nuevo,202406,0.2671742166666662,0.1654805233333331,0.10169369333333309,5,False
upload,Ica,Chincha,Sunampe,202405,0.06938753333333336,-0.05798369333333327,0.12737122666666661,5,False
upload,Ica,Ica,Ica,202510,0.09571870000000038,-0.00681403999999981,0.10253274000000019,5,False
upload,Ica,Ica,La Tinguiña,202508,-0.7392817333333328,-0.23254840000000013,-0.5067333333333327,5,False
upload,Ica,Ica,Parcona,202510,-0.45080321666666645,-0.24302389,-0.20777932666666646,5,False
upload,Ica,Ica,Subtanjalla,202507,-0.24470408333333316,-0.3043002966666668,0.05959621333333365,5,False
upload,Junin,Huancayo,Chilca,202501,0.1462256333333336,-0.46305397222222194,0.6092796055555556,3,False
upload,Junin,Huancayo,El Tambo,202501,-0.02092603333333365,-0.08363377777777758,0.06270774444444394,3,False
upload,Junin,Huancayo,Huancayo,202501,0.07411314999999918,-0.26268562777777776,0.33679877777777695,3,False
upload,Junin,Huancayo,Pilcomayo,202501,-0.40483879999999983,-0.12699940333333357,-0.27783939666666624,5,False
upload,Junin,Huancayo,San Agustin,202412,-0.2993275500000001,-0.3596796700000002,0.060352120000000065,5,False
upload,La Libertad,Trujillo,El Porvenir,202412,0.1444702333333332,-0.20087653666666663,0.3453467699999998,5,False
upload,La Libertad,Trujillo,La Esperanza,202412,-0.07582368333333322,-0.14429967999999976,0.06847599666666654,5,False
upload,La Libertad,Trujillo,Moche,202412,0.5837295833333331,-0.38407216333333327,0.9678017466666664,5,False
upload,La Libertad,Trujillo,Trujillo,202412,-0.2481276333333331,-0.19111629666666669,-0.05701133666666641,5,False
upload,La Libertad,Trujillo,Victor Larco Herrera,202412,0.14395953333333322,-0.41453552333333343,0.5584950566666667,5,False
upload,Lambayeque,Chiclayo,Chiclayo,202412,0.009284633333333403,-0.23315719333333346,0.24244182666666686,5,False
upload,Lambayeque,Chiclayo,Jose Leonardo Ortiz,202412,-0.3500962833333334,-0.3924952066666668,0.042398923333333394,5,False
upload,Lambayeque,Chiclayo,La Victoria,202412,-0.3797785666666669,-0.3249954066666666,-0.054783160000000275,5,False
upload,Lambayeque,Chiclayo,Pimentel,202412,0.009249149999999595,-0.5017911366666665,0.5110402866666661,5,False
upload,Lima,Cañete,Asia,202512,-0.06754618333333307,0.47899479666666667,-0.5465409799999997,5,True
upload,Lima,Cañete,Chilca,202510,0.0305900333333331,0.3707934133333334,-0.3402033800000003,5,False
upload,Lima,Cañete,Mala,202512,0.006752283333334219,0.36198083333333314,-0.3552285499999989,5,True
upload,Lima,Huaura,Sayan,202602,-0.6034761166666668,0.12523674500000004,-0.7287128616666668,5,False
upload,Lima,Lima,Barranco,202511,-0.30298343333333344,-0.054116229166666696,-0.24886720416666674,4,False
