department,province,district,carrier,breakpoint_yearmonth,months_pre,months_post,pre6_4g_download_mbps,post6_4g_download_mbps,delta_4g_download_mbps,pct_4g_download_upgrade,pre6_4g_upload_mbps,post6_4g_upload_mbps,delta_4g_upload_mbps,pct_4g_upload_upgrade,pre6_4g_latency_ms,post6_4g_latency_ms,delta_4g_latency_ms,pct_4g_latency_improvement,pre6_4g_time_pct,post6_4g_time_pct,delta_4g_time_pp,pre6_4g_packet_loss_pct,post6_4g_packet_loss_pct,delta_4g_packet_loss_pp,pct_4g_packet_loss_improvement,composite_upgrade_score,pre6_4g_download_measurements,post6_4g_download_measurements,pre6_4g_download_mbps_weighted,post6_4g_download_mbps_weighted,delta_4g_download_mbps_weighted,last_yearmonth_available,ubigeo,shape_department,shape_province,shape_district,region3,altitud_m,poblacion_distrito
Cusco,Cusco,San Sebastian,MOVISTAR,202509,32,11,9.034160000000002,11.292797166666665,2.258637166666663,0.2500107554732993,2.6699845,3.2647733,0.5947887999999999,0.2227686340501227,71.49519,65.46899733333333,-6.02619266666666,0.09204650921999757,89.00518266666667,93.68066733333335,4.6754846666666765,1.3384441166666667,1.5504262166666667,0.21198209999999995,-0.13672504871321778,0.15660819916617666,32926.5,24614.833333333332,9.049178334532973,11.371843533018708,2.322665198485735,202607,080105,CUSCO,CUSCO,SAN SEBASTIAN,Sierra,3578,112536
Cusco,Cusco,Santiago,MOVISTAR,202509,32,11,7.7028014833333325,10.441906666666666,2.7391051833333337,0.3555985688142136,2.541858116666667,2.644728,0.10286988333333325,0.040470348308911275,69.79992499999999,66.45418333333333,-3.3457416666666546,0.05034659217591253,90.55000683333333,94.61098766666667,4.060980833333346,0.9632640816666665,1.277456521666667,0.31419244000000035,-0.24595157226179487,0.1546905204529105,45814.666666666664,36775.166666666664,7.694016769898649,10.567942216477606,2.8739254465789568,202607,080106,CUSCO,CUSCO,SANTIAGO,Sierra,3464,94756
Cusco,Cusco,Wanchaq,MOVISTAR,202509,32,11,9.495076833333332,11.983264833333335,2.4881880000000027,0.26205032815163665,2.5184751999999997,2.9991228999999997,0.4806477,0.1908486928916353,69.54679750000001,66.0671905,-3.4796070000000157,0.0526677004677536,93.02603833333335,94.74851666666666,1.7224783333333136,1.2037879833333334,1.1563788566666668,-0.04740912666666652,0.04099791897209726,0.15124797375994317,44226.0,38161.0,9.440375844797178,12.045157305425258,2.6047814606280806,202607,080108,CUSCO,CUSCO,WANCHAQ,Sierra,3424,58541
Cusco,Acomayo,Pomacanchi,MOVISTAR,202512,31,3,8.545895433333333,14.924244166666668,6.378348733333334,0.7463640039936055,0.0,0.0,0.0,,62.016952833333335,65.71123466666667,3.694281833333335,-0.05621994248127149,66.94073116666667,98.25909866666666,31.318367499999994,0.21681901666666667,0.33565774,0.11883872333333331,-0.35404732014621,0.36913623672919266,1181.3333333333333,1725.6666666666667,8.934827758239278,15.112953313019123,6.178125554779845,202607,080205,CUSCO,ACOMAYO,POMACANCHI,Sierra,3708,7206
Ica,Ica,Ica,MOVISTAR,202510,33,10,10.621536166666667,11.624691416666666,1.003155249999999,0.09444540170641025,2.695556033333333,2.791274733333333,0.09571870000000038,0.035509816459513344,56.27145466666666,52.36071383333334,-3.910740833333321,0.07468845527548384,95.65063833333333,96.80828233333335,1.157644000000019,0.44377301500000005,0.4730598,0.029286784999999926,-0.06190926601668523,0.060417749669527836,167412.16666666666,156009.33333333334,10.624404423617161,11.641820359245601,1.0174159356284402,202607,110101,ICA,ICA,ICA,Costa,432,150280
Ica,Ica,La Tinguiña,MOVISTAR,202508,31,12,8.526984916666665,10.608572833333334,2.0815879166666686,0.2441176965844094,3.491464433333333,2.7521827,-0.7392817333333328,-0.2117397291163392,58.12345833333333,52.29942366666666,-5.82403466666667,0.11135944257792363,95.85774683333334,97.19305816666666,1.3353113333333226,0.7338786933333333,0.5818453166666667,-0.1520333766666666,0.2612951798557914,0.10879370590358334,18645.166666666668,21475.833333333332,8.482564055282424,10.669076567319856,2.1865125120374316,202607,110102,ICA,ICA,LA TINGUIÑA,Costa,463,39574
Ica,Ica,Parcona,MOVISTAR,202510,33,10,9.188868666666666,10.698820583333335,1.5099519166666688,0.16432402850028072,3.390426533333333,2.9396233166666668,-0.45080321666666645,-0.1329635702866726,61.162147499999996,56.3536755,-4.808471999999995,0.08532667935740945,96.03978433333334,97.62737733333334,1.5875929999999983,0.45847162,0.53444993,0.07597830999999994,-0.142161698851752,0.06239005025387615,32609.666666666668,34597.0,9.203648676087866,10.745822248415084,1.5421735723272185,202607,110106,ICA,ICA,PARCONA,Costa,472,54047
Ica,Ica,Subtanjalla,MOVISTAR,202507,30,13,8.429923066666667,11.484229083333334,3.0543060166666667,0.36231718753684783,3.1199703166666666,2.8752662333333334,-0.24470408333333316,-0.07843154212914805,59.40997099999999,53.32847666666667,-6.081494333333325,0.11403840337210691,88.67585883333334,91.4686875,2.792828666666665,0.7101478,0.6290980883333334,-0.08104971166666664,0.12883477659484122,0.17230272636813573,12683.0,10392.666666666666,8.591393428891694,12.029606173030663,3.438212744138969,202607,110112,ICA,ICA,SUBTANJALLA,Costa,445,27387
Ica,Chincha,Chincha Alta,MOVISTAR,202406,17,26,11.399142,12.084174666666664,0.6850326666666646,0.060095107742904164,2.9960883000000003,3.928726483333333,0.9326381833333328,0.3112852793201497,74.92816066666667,84.25996666666667,9.331806,-0.11075017436117351,96.24883266666666,98.206494,1.9576613333333484,0.556994215,0.4282286833333333,-0.1287655316666667,0.30069338341457064,0.0610144525756193,111478.0,111747.66666666667,11.407986175906158,12.089735711013352,0.681749535107194,202607,110201,ICA,CHINCHA,CHINCHA ALTA,Costa,140,66349
Ica,Chincha,Alto Laran,MOVISTAR,202406,17,26,10.021989833333334,11.224286333333334,1.2022964999999992,0.11996584710165425,2.8874786666666665,3.2611276,0.3736489333333335,0.12940318404661233,77.04205666666667,86.58834516666667,9.546288500000003,-0.11024911587841468,89.82243483333333,93.76296166666667,3.9405268333333368,0.6828441550000001,0.5040164450000001,-0.17882770999999997,0.35480530798950416,0.0634855931275251,16628.5,19839.666666666668,10.01664348503072,11.250045703414036,1.2334022183833167,202607,110202,ICA,CHINCHA,ALTO LARAN,Costa,156,7783
